instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_daily,atemp,hum_daily,windspeed_daily,casual,registered,cnt_daily,cnt_hourly,temp_hourly,hum_hourly,windspeed_hourly
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,4708,0.6825,0.6583333333333333,0.1075875
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,4648,0.7441666666666666,0.6341666666666667,0.14428333333333335
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,5225,0.7283333333333334,0.4979166666666666,0.26182083333333334
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,5515,0.6966666666666667,0.43416666666666665,0.1853125
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,5362,0.7225,0.39625,0.10260833333333334
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,5119,0.7383333333333333,0.44458333333333333,0.1150625
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,4649,0.7166666666666667,0.6825,0.2288583333333333
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,6043,0.7266666666666667,0.6379166666666667,0.08147916666666667
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,4665,0.7466666666666667,0.5904166666666667,0.12625833333333333
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,4629,0.7200000000000001,0.7433333333333333,0.14988333333333334
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,4592,0.75,0.65125,0.1592
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,4040,0.7091666666666666,0.7579166666666667,0.22512916666666669
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,5336,0.7333333333333334,0.6091666666666666,0.16791250000000002
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,4881,0.7475,0.5783333333333334,0.18347083333333333
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,4086,0.7625000000000001,0.6358333333333334,0.28233749999999996
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,4258,0.7941666666666666,0.5591666666666667,0.20025416666666665
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,4342,0.7466666666666666,0.6316666666666667,0.14613333333333334
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,5084,0.6808333333333333,0.47625,0.24066666666666667
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,5538,0.6633333333333333,0.5912499999999999,0.18283333333333332
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,5923,0.6866666666666666,0.5850000000000001,0.20834166666666668
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,5302,0.7191666666666667,0.6041666666666666,0.24503333333333333
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,4458,0.7466666666666667,0.65125,0.21580416666666669
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,4541,0.7766666666666667,0.6504166666666666,0.13060000000000002
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,4332,0.7683333333333334,0.7070833333333333,0.11381666666666666
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3784,0.815,0.69125,0.22202083333333333
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,3387,0.8483333333333333,0.5804166666666667,0.1331
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,3285,0.8491666666666666,0.5,0.13122083333333331
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,3606,0.8300000000000001,0.5508333333333334,0.16917083333333335
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,3840,0.7433333333333333,0.7570833333333332,0.09080833333333332
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,4590,0.7716666666666666,0.5408333333333334,0.20025833333333332
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,4656,0.775,0.40291666666666665,0.1834625
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,4390,0.7791666666666667,0.5833333333333334,0.17847916666666666
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,3846,0.8383333333333334,0.5425,0.17413750000000003
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,4475,0.8041666666666667,0.4658333333333333,0.1685375
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,4302,0.8058333333333333,0.4808333333333333,0.1648125
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,4266,0.7716666666666666,0.5508333333333333,0.15671666666666667
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4845,0.7833333333333333,0.49124999999999996,0.20585
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,3574,0.7316666666666666,0.6575,0.13558333333333333
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,4576,0.71,0.7575,0.19715000000000002
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,4866,0.7108333333333333,0.6308333333333334,0.1846958333333333
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,4294,0.7166666666666667,0.755,0.22824999999999998
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,3785,0.7425,0.7529166666666667,0.2014875
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,4326,0.765,0.5920833333333334,0.19217499999999998
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,4602,0.775,0.5704166666666667,0.15112083333333334
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,4780,0.7666666666666666,0.42416666666666664,0.20025833333333332
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,4792,0.7174999999999999,0.42375,0.16479583333333334
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,4905,0.7083333333333334,0.41500000000000004,0.12562083333333332
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,4150,0.6858333333333334,0.7295833333333333,0.2114541666666667
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,3820,0.6766666666666666,0.8175,0.22263333333333335
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,4338,0.6658333333333334,0.7120833333333333,0.20895416666666666
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,4725,0.7008333333333333,0.5783333333333333,0.23632916666666667
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,4694,0.7233333333333333,0.5754166666666667,0.14366666666666666
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,3805,0.7116666666666668,0.6545833333333334,0.23320833333333335
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,4153,0.685,0.7229166666666668,0.13930833333333334
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,5191,0.6974999999999999,0.6741666666666667,0.10446666666666667
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,3873,0.7108333333333333,0.77,0.2487541666666667
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,4758,0.6916666666666668,0.47,0.27675
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,5895,0.6408333333333333,0.45541666666666664,0.1467625
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,5130,0.6733333333333333,0.605,0.2531083333333333
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,3542,0.6841666666666667,0.7716666666666666,0.21083333333333334
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,4661,0.7000000000000001,0.76125,0.0839625
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,1115,0.68,0.85,0.37561666666666665
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,4334,0.7070588235294117,0.5617647058823529,0.30465882352941176
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,4634,0.6366666666666666,0.5545833333333333,0.159825
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,5204,0.6391666666666667,0.5483333333333333,0.12500833333333333
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,5058,0.6566666666666666,0.5979166666666667,0.08333333333333333
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,5115,0.655,0.6391666666666667,0.14179583333333332
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,4727,0.6433333333333333,0.7270833333333333,0.13992916666666666
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,4484,0.6691666666666666,0.7166666666666667,0.185325
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,4940,0.7091666666666666,0.7420833333333333,0.2064666666666667
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,3351,0.6733333333333333,0.7904166666666667,0.21269583333333333
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,204,2506,2710,2710,0.54,0.8869565217391304,0.3439434782608696
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,1996,0.5991666666666667,0.9170833333333333,0.09702083333333333
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,153,1689,1842,1842,0.6339130434782608,0.9395652173913043,0.19274782608695654
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127,3544,3544,0.65,0.8979166666666667,0.12437916666666667
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345,5345,0.66,0.75375,0.15360833333333332
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,5046,0.6533333333333333,0.71375,0.11505416666666667
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023,4713,4713,0.6443478260869565,0.6921739130434783,0.08891304347826087
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062,4763,4763,0.6508333333333333,0.7125,0.14180416666666668
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785,4785,0.6733333333333333,0.6970833333333334,0.1673
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659,3659,0.5775,0.7091666666666666,0.27114583333333336
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760,4760,0.4691666666666667,0.5904166666666667,0.16418333333333332
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,4511,0.4916666666666667,0.7183333333333333,0.189675
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274,4274,0.5075,0.695,0.17848333333333333
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848,4539,4539,0.5491666666666667,0.69,0.15174166666666666
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641,3641,0.5616666666666666,0.88125,0.13495416666666668
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813,4352,4352,0.5950000000000001,0.9,0.09640416666666667
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795,4795,0.6283333333333333,0.9020833333333332,0.12812500000000002
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,2395,0.6091666666666666,0.9725,0.07836666666666667
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,5423,0.6066666666666667,0.8624999999999999,0.07838333333333333
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,5010,0.6341666666666667,0.8450000000000001,0.05037916666666667
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630,4630,0.6491666666666667,0.8483333333333333,0.1107
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120,4120,0.6366666666666666,0.8854166666666666,0.11817083333333334
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,480,3427,3907,3907,0.635,0.84875,0.14862916666666667
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186,4839,4839,0.6166666666666667,0.6991666666666667,0.17288333333333336
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202,5202,0.5641666666666667,0.6475,0.206475
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429,2429,0.41,0.75375,0.29229583333333337
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918,2918,0.3566666666666667,0.7916666666666666,0.22201249999999997
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,3570,0.3841666666666667,0.7608333333333334,0.08334583333333334
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456,4456,0.4841666666666667,0.71,0.20585416666666667
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826,4826,0.5383333333333333,0.6479166666666667,0.17725000000000002
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765,4765,0.49416666666666664,0.6208333333333333,0.13495416666666668
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,4985,0.5108333333333334,0.6841666666666667,0.022391666666666667
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,5409,0.5216666666666666,0.7012499999999999,0.04540416666666667
282,2011-10-09,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,5511,0.5408333333333334,0.7275,0.06344999999999999
283,2011-10-10,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,5117,0.5708333333333333,0.73375,0.04230416666666667
284,2011-10-11,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563,4563,0.5666666666666667,0.80875,0.14304166666666665
285,2011-10-12,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416,2416,0.5433333333333333,0.90625,0.24815
286,2011-10-13,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913,2913,0.5891666666666667,0.8966666666666666,0.14178749999999998
287,2011-10-14,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644,3644,0.5508333333333334,0.71625,0.22388333333333335
288,2011-10-15,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,5217,0.5066666666666667,0.48333333333333334,0.25808333333333333
289,2011-10-16,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,5041,0.5116666666666667,0.48666666666666664,0.28171666666666667
290,2011-10-17,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570,4570,0.5341666666666667,0.5795833333333333,0.17537916666666667
291,2011-10-18,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748,4748,0.5325000000000001,0.7016666666666667,0.1100875
292,2011-10-19,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424,2424,0.5417391304347826,0.8952173913043479,0.2433391304347826
293,2011-10-20,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195,4195,0.47583333333333333,0.63625,0.42227499999999996
294,2011-10-21,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304,4304,0.4275,0.5741666666666666,0.22139583333333335
295,2011-10-22,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,4308,0.42250000000000004,0.6291666666666667,0.09266666666666666
296,2011-10-23,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,4381,0.4216666666666667,0.74125,0.0995125
297,2011-10-24,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699,3488,4187,4187,0.4633333333333334,0.7720833333333333,0.11879166666666667
298,2011-10-25,4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687,4687,0.4716666666666667,0.6229166666666667,0.16665833333333332
299,2011-10-26,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894,3894,0.48416666666666663,0.7204166666666666,0.14864166666666667
300,2011-10-27,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,240,2419,2659,2659,0.47,0.8129166666666666,0.19776249999999998
301,2011-10-28,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747,3747,0.33083333333333337,0.5858333333333333,0.22947916666666668
302,2011-10-29,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570,627,627,0.25416666666666665,0.8825,0.35137083333333335
303,2011-10-30,4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331,3331,0.31916666666666665,0.62375,0.17661666666666667
304,2011-10-31,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669,3669,0.34,0.7033333333333333,0.10635
305,2011-11-01,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068,4068,0.4008333333333333,0.68375,0.13557083333333333
306,2011-11-02,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186,4186,0.3775,0.71875,0.08209166666666667
307,2011-11-03,4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974,3974,0.4083333333333334,0.7020833333333334,0.13681666666666667
308,2011-11-04,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046,4046,0.4033333333333333,0.6224999999999999,0.2717791666666667
309,2011-11-05,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,3926,0.32666666666666666,0.5191666666666667,0.1890625
310,2011-11-06,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649,3649,0.34833333333333333,0.7345833333333333,0.09205416666666666
311,2011-11-07,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035,4035,0.395,0.75875,0.057225
312,2011-11-08,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205,4205,0.4083333333333334,0.7216666666666667,0.0690375
313,2011-11-09,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109,4109,0.39999999999999997,0.7583333333333333,0.06219583333333333
314,2011-11-10,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933,2933,0.37999999999999995,0.8133333333333334,0.1890666666666667
315,2011-11-11,4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368,3368,0.32416666666666666,0.44625000000000004,0.314675
316,2011-11-12,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067,4067,0.3566666666666667,0.5529166666666666,0.21206250000000001
317,2011-11-13,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717,3717,0.44083333333333335,0.4583333333333333,0.28172083333333336
318,2011-11-14,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486,4486,0.53,0.5870833333333333,0.30659583333333335
319,2011-11-15,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195,4195,0.53,0.6887500000000001,0.19963333333333333
320,2011-11-16,4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817,1817,0.4566666666666667,0.93,0.13682916666666667
321,2011-11-17,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053,3053,0.3416666666666666,0.5758333333333333,0.3053625
322,2011-11-18,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392,3392,0.27416666666666667,0.41,0.16853333333333334
323,2011-11-19,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663,3663,0.32916666666666666,0.5020833333333333,0.22449583333333334
324,2011-11-20,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787,2733,3520,3520,0.4633333333333334,0.6845833333333333,0.18594999999999998
325,2011-11-21,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220,2545,2765,2765,0.4475,0.91,0.13805416666666667
326,2011-11-22,4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69,1538,1607,1607,0.4166666666666667,0.9624999999999999,0.11879166666666667
327,2011-11-23,4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112,2454,2566,2566,0.44083333333333335,0.7579166666666666,0.335825
328,2011-11-24,4,0,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560,935,1495,1495,0.37333333333333335,0.5491666666666667,0.16730416666666667
329,2011-11-25,4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095,1697,2792,2792,0.375,0.64375,0.09889583333333334
330,2011-11-26,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068,3068,0.3758333333333333,0.6816666666666666,0.06842083333333333
331,2011-11-27,4,0,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810,2261,3071,3071,0.45916666666666667,0.6983333333333334,0.20895416666666666
332,2011-11-28,4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253,3614,3867,3867,0.5034782608695653,0.7430434782608696,0.14212173913043477
333,2011-11-29,4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914,2914,0.4583333333333333,0.8308333333333334,0.25809166666666666
334,2011-11-30,4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613,3613,0.325,0.6133333333333334,0.27115833333333333
335,2011-12-01,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727,3727,0.3125,0.5245833333333333,0.22015833333333334
336,2011-12-02,4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940,3940,0.31416666666666665,0.6258333333333334,0.10075416666666666
337,2011-12-03,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614,3614,0.29916666666666664,0.6129166666666667,0.09578333333333333
338,2011-12-04,4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485,3485,0.33083333333333337,0.7758333333333334,0.08395833333333334
339,2011-12-05,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811,3811,0.3858333333333333,0.8270833333333334,0.06220833333333333
340,2011-12-06,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468,2594,2594,0.46249999999999997,0.9495833333333333,0.23258333333333334
341,2011-12-07,4,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,50,655,705,705,0.41,0.9704166666666666,0.266175
342,2011-12-08,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322,3322,0.2658333333333333,0.58,0.24005833333333335
343,2011-12-09,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620,3620,0.29083333333333333,0.6958333333333333,0.08271666666666667
344,2011-12-10,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190,3190,0.275,0.5075,0.23322083333333332
345,2011-12-11,4,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743,2743,0.22083333333333333,0.49,0.06654166666666667
346,2011-12-12,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310,3310,0.2383333333333333,0.6708333333333334,0.06344999999999999
347,2011-12-13,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368,3523,3523,0.28250000000000003,0.59,0.14055
348,2011-12-14,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562,3740,3740,0.3175,0.66375,0.06095833333333334
349,2011-12-15,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528,3709,3709,0.42250000000000004,0.6341666666666667,0.2680416666666667
350,2011-12-16,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399,3577,3577,0.375,0.5004166666666666,0.260575
351,2011-12-17,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739,2739,0.25833333333333336,0.5608333333333334,0.24316666666666667
352,2011-12-18,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431,2431,0.2383333333333333,0.58625,0.16977916666666668
353,2011-12-19,4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260,3143,3403,3403,0.27666666666666667,0.6375000000000001,0.17289583333333333
354,2011-12-20,4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534,3750,3750,0.3858333333333333,0.5954166666666667,0.06157083333333333
